date,speaker,timestamp,text_by_minute,finbert_pos,finbert_neg,finbert_neu,finbert_sentiment,finbert_score,sentiment,confidence
2020-12-18,Governor Lael Brainard,2020-12-18 10:00:00-05:00,I want to thank the Center for American Progress for inviting me to join you in discussing climate change and the U.S. financial system.1 Let me start by noting these are my own views and do not necessarily reflect those of the Federal Reserve Board or the Federal Open Market Committee.Climate change and the transition to a sustainable economy have important implications for the financial system. The financial system can be a powerful enabler to help the private sector manage climate-related risks and invest in the transition. It is vitally important to strengthen the U.S. financial system to meet the challenge of climate change.Meeting the Challenge of Climate Change Climate change is one of the major challenges of our time.2 There is growing evidence that extreme weather events related to climate,0.24224454,0.014890921,0.74286455,neutral,0.22735362,neutral,0.7699843049049377
2020-12-18,Governor Lael Brainard,2020-12-18 10:01:00-05:00,"change are on the risea droughts, wildfires, hurricanes, and heatwaves are all becoming more common.3 Climate-related events are already adversely affecting the lives of many Americans. The economic and financial impacts are also increasingly evident: we are already seeing elevated financial losses associated with an increased frequency and intensity of extreme weather events.4 Some have described Pacific Gas and Electric's bankruptcy as the first climate-related bankruptcy of a major U.S. corporation.5Average annual insured weather-related catastrophe losses have increased over the past decade.6 With losses increasing, insurers are incorporating the impact of climate change into their underwriting assumptions, pricing, and investment decisions. Climate change is also likely to have a notable impact on coverage availability.7 Some insurers have discontinued policies in fire-prone areas, which, in turn, is changing the costs of homeownership",0.025689559,0.9221908,0.052119635,negative,-0.89650124,negative,0.9181606769561768
2020-12-18,Governor Lael Brainard,2020-12-18 10:02:00-05:00,"and the risk profiles of previously underwritten mortgages.8Similarly, mortgages in coastal areas are vulnerable to hurricanes and sea level rise. New mortgages issued for U.S. coastal homes have, in aggregate, exceeded $60 billion annually in recent years.9 Recent research suggests that lenders hit by hurricanes, particularly in areas not typically affected by natural disasters, tend subsequently to securitize more of their mortgage loans, which could have higher climate risks, higher borrower defaults, and lower collateral values.10 Homeowners could also face increased hardship, since many homeowner insurance policies exclude flooding.11Just as there are risks, there are also promising opportunities for private-sector investments in low-carbon innovation, infrastructure, energy, and transportation. With support from accounting standard setters, credit rating agencies, and regulators, the financial system can provide useful signals to help the private sector",0.8379759,0.027664455,0.13435967,positive,0.81031144,positive,0.39909377694129944
2020-12-18,Governor Lael Brainard,2020-12-18 10:03:00-05:00,"manage climate risks and facilitate a smooth transition.12Climate Risks and Financial Stability Climate change could pose important risks to financial stability. That is true for both physical and transition risks. A lack of clarity about true exposures to specific climate risks for physical and financial assets, coupled with uncertainty about the size and timing of these risks, creates vulnerabilities to abrupt repricing events.13 For example, a shift in the perceived frequency or severity of climate-related events, such as storms, floods, or wildfires, could rapidly change perceptions of risk and lead to rapid repricing of assets.14 Similarly, changes in investor expectations about future climate policies could lead to rapid and unexpected price changes that ripple through the financial system.15Assessing climate risk effects is complex because the predicted path of climate change is",0.027402986,0.5354104,0.4371866,negative,-0.5080074,negative,0.5283672213554382
2020-12-18,Governor Lael Brainard,2020-12-18 10:04:00-05:00,"nonlinear and has likely tipping points, beyond which changes in climate conditions could occur rapidly, and climate forecasts based on historical data are no longer relevant.16 This uncertainty in climate forecasts may reduce the accuracy of risk models used by investors, risk managers, asset managers, financial infrastructures, and leveraged financial institutions.With accounting standards and disclosure frameworks for climate risk in the early stages of development and adoption, investors may lack transparency around the range of climate-related exposures facing financial firms, and non-financial short-term investors may be disinclined to fully price in longer-term climate effects.17 Some studies suggest that even well-informed investors may underestimate the likelihood of large shocks related to climate.18 Combined with the uncertainty in the timing and magnitude of climate change itself, this mispricing could lead to financial volatility",0.010836757,0.9450366,0.044126686,negative,-0.9341998,negative,0.9193445444107056
2020-12-18,Governor Lael Brainard,2020-12-18 10:05:00-05:00,"as conditions evolve and perceptions shift.Consistent, comparable, and actionable disclosures are critical to understanding firms' exposures to climate risks and to accurately pricing that risk. The Task Force on Climate-Related Financial Disclosures (TCFD), a private sector-led initiative with support from the Financial Stability Board, provides a consistent global framework for companies and other organizations to improve standardization of climate-related financial disclosures. As of October 2020, nearly 1,500 organizations with a combined market capitalization of $12.6 trillion, including financial institutions that own or manage assets of $150 trillion, had expressed their support for the TCFD framework. This support signifies strong demand from the private sector and investors for greater transparency around climate-related risks to better inform decisionmaking.19We are improving our understanding of climate risks and their impact on financial stability through staff",0.74984044,0.008911176,0.24124843,positive,0.74092925,neutral,0.5262880921363831
2020-12-18,Governor Lael Brainard,2020-12-18 10:06:00-05:00,"research and engagement with other central banks on topics like climate scenario analysis. One useful approach to assessing the effect of climate-related risks is through scenario analysis of how the financial system is exposed and how it may respond to climate-related risks. Climate scenario analysis identifies climate-related physical and transition risk factors facing financial firms, formulates appropriate stresses of those risk factors under different scenarios, and measures their effects on individual firms and the financial system as a whole.20 In part because of the different nature of climate-related risks relative to financial and economic downturns and the significantly longer planning horizon, this is distinct from established regulatory stress tests at banks, which are used to assess capital adequacy over a relatively short horizon.Measuring, Modelling, and Managing Climate Risk in the Banking",0.04138476,0.025143174,0.9334721,neutral,0.016241586,neutral,0.9364360570907593
2020-12-18,Governor Lael Brainard,2020-12-18 10:07:00-05:00,"System Supervisors are responsible for ensuring that supervised institutions are resilient to all material risks, including those associated with climate change. The economic and financial market consequences of climate change and the accompanying economic transition will have direct implications for bank balance sheets, strategies, and operations, and could increase credit, market, liquidity, or operational risk at banks. These climate-related developments may affect the creditworthiness of corporate, household, and government borrowers.21 Climate-related risks may reduce a borrower's repayment capacity or the value of assets collateralizing a loan, exposing banking institutions to losses. Similarly, climate-related risks may impact the level and volatility of asset prices, thus affecting the value of a bank's portfolios. Severe weather events may disrupt a bank's data centers or operations and impede its ability to provide financial services to",0.013083486,0.87623346,0.110683024,negative,-0.86315,negative,0.7267696857452393
2020-12-18,Governor Lael Brainard,2020-12-18 10:08:00-05:00,"customers.Although the transmission channels through which climate risks affect banks are increasingly apparent, quantification of those risks remains challenging. To date, measurement efforts have been hampered by data gaps and methodological hurdles, many of which are unique to climate change and contribute to elevated uncertainty in estimates of climate-related risks. For instance, assessment of the potential impact of climate change on a bank may require precise data on the geolocation of a counterparty's assets and operations, as well as information on local weather patterns for those locations. It may also require knowledge of a counterparty's carbon emissions and of policies in different industries and jurisdictions. Data at this level of granularity are often unavailable or extremely difficult to acquire, presenting challenges in calculating the magnitude of climate-related financial risks. Two-thirds of",0.019187495,0.7637778,0.21703479,negative,-0.7445903,negative,0.9341899156570435
2020-12-18,Governor Lael Brainard,2020-12-18 10:09:00-05:00,"respondents to a recent survey of members of the Basel Committee on Banking Supervision's Task Force on Climate-Related Financial Risks (TFCR) indicated that they lack sufficiently granular or reliable data necessary to run climate risk assessment models.22Filling these data gaps is critical for measuring the banking sector's exposure to climate risk and analyzing the implications for financial stability and prudential risks. Federal Reserve staff are participating in a new Network for Greening the Financial System (NGFS) workstream on ""Bridging the Data Gaps."" The workstream will create a detailed list of gaps in data items at the macroeconomic level, the market level, and the financial market participant level needed to model climate risk.23Climate change also poses distinct modelling challenges. The several decades over which climate risks are projected to materialize far exceed",0.041025285,0.08219023,0.87678444,neutral,-0.041164946,neutral,0.8667281866073608
